tool,row_index,delta,n,strength,effective_realizations_per_orientation,total,gap_accuracy,joint_accuracy,gap_false_positive_rate,joint_false_positive_rate,gap_false_negative_rate,joint_false_negative_rate,error_gap_minus_error_joint,gap_wrong_joint_right,gap_right_joint_wrong,mcnemar_pvalue,reference_label_flips_from_clean_parent,gap_positive_rate,joint_positive_rate,gap_accuracy_ci95,joint_accuracy_ci95,error_difference_ci95
ssh_disorder_diagnostic_benchmark,22,0.2,20.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,23,0.2,20.0,0.2,128.0,256.0,1.0,0.99609375,0.0,0.0,0.0,0.0078125,-0.00390625,0.0,1.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,24,0.2,20.0,0.4,128.0,256.0,1.0,0.98046875,0.0,0.0,0.0,0.0390625,-0.01953125,0.0,5.0,0.0625,0.0,,,,,
ssh_disorder_diagnostic_benchmark,25,0.05,40.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,26,0.05,40.0,0.05,128.0,256.0,0.5078125,0.5078125,0.0,0.0,0.984375,0.984375,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,27,0.05,40.0,0.1,128.0,256.0,0.5859375,0.58203125,0.0,0.0,0.828125,0.8359375,-0.00390625,0.0,1.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,28,0.05,40.0,0.2,128.0,256.0,0.66015625,0.64453125,0.0,0.0,0.6850393701,0.7165354331,-0.015625,0.0,4.0,0.125,1.0,,,,,
ssh_disorder_diagnostic_benchmark,29,0.05,40.0,0.4,128.0,256.0,0.73046875,0.72265625,0.0,0.0,0.552,0.568,-0.0078125,0.0,2.0,0.5,27.0,,,,,
ssh_disorder_diagnostic_benchmark,30,0.1,40.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,31,0.1,40.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,32,0.1,40.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,33,0.1,40.0,0.2,128.0,256.0,1.0,0.99609375,0.0,0.0,0.0,0.0078125,-0.00390625,0.0,1.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,34,0.1,40.0,0.4,128.0,256.0,0.98828125,0.95703125,0.0,0.0,0.02362204724,0.08661417323,-0.03125,0.0,8.0,0.0078125,1.0,,,,,
ssh_disorder_diagnostic_benchmark,35,0.2,40.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,36,0.2,40.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,37,0.2,40.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,38,0.2,40.0,0.2,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,39,0.2,40.0,0.4,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
