run,namespace,disorder_type,n,delta,strength,effective_realizations_per_orientation,reference_label,total,gap_accuracy,joint_accuracy,gap_positive_rate,joint_positive_rate,gap_false_positive_rate,joint_false_positive_rate,gap_false_negative_rate,joint_false_negative_rate,error_gap_minus_error_joint,gap_wrong_joint_right,gap_right_joint_wrong,mcnemar_pvalue,reference_label_flips_from_clean_parent
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.05,0.4,128,random_ssh_log_geometric_mean,256,0.953125,0.953125,,,0.032,0.032,0.06106870229,0.06106870229,0,0,0,1,5
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.1,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.1,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.1,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.1,0.2,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.1,0.4,128,random_ssh_log_geometric_mean,256,0.99609375,1,,,0.0078125,0,0,0,0.00390625,1,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.2,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.2,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.2,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.2,0.2,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,off_diagonal,80,0.2,0.4,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.05,0,1,not_defined,2,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.05,0.05,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.05,0.1,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.05,0.2,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.05,0.4,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.1,0,1,not_defined,2,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.1,0.05,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.1,0.1,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.1,0.2,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.1,0.4,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.2,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.2,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.2,0.1,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.2,0.2,128,not_defined,256,,,0.4609375,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,20,0.2,0.4,128,not_defined,256,,,0.2734375,0.484375,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.05,0,1,not_defined,2,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.05,0.05,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.05,0.1,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.05,0.2,128,not_defined,256,,,0,0,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.05,0.4,128,not_defined,256,,,0.00390625,0.00390625,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.1,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.1,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.1,0.1,128,not_defined,256,,,0.48828125,0.48828125,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.1,0.2,128,not_defined,256,,,0.33984375,0.33984375,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.1,0.4,128,not_defined,256,,,0.21484375,0.21484375,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.2,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.2,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.2,0.1,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.2,0.2,128,not_defined,256,,,0.44921875,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,40,0.2,0.4,128,not_defined,256,,,0.29296875,0.46484375,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.05,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.05,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.05,0.1,128,not_defined,256,,,0.41796875,0.41796875,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.05,0.2,128,not_defined,256,,,0.27734375,0.27734375,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.05,0.4,128,not_defined,256,,,0.1875,0.171875,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.1,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.1,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.1,0.1,128,not_defined,256,,,0.48828125,0.48828125,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.1,0.2,128,not_defined,256,,,0.33984375,0.33984375,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.1,0.4,128,not_defined,256,,,0.21875,0.21875,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.2,0,1,not_defined,2,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.2,0.05,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.2,0.1,128,not_defined,256,,,0.5,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.2,0.2,128,not_defined,256,,,0.46484375,0.5,,,,,,,,,
primary,amy-ssh-disorder-v1-primary,diagonal,80,0.2,0.4,128,not_defined,256,,,0.2734375,0.45703125,,,,,,,,,
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.05,0,1,random_ssh_log_geometric_mean,2,0.5,0.5,,,0,0,1,1,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.05,0.05,128,random_ssh_log_geometric_mean,256,0.5,0.5,,,0,0,1,1,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.05,0.1,128,random_ssh_log_geometric_mean,256,0.5,0.5,,,0,0,1,1,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.05,0.2,128,random_ssh_log_geometric_mean,256,0.50390625,0.50390625,,,0,0,1,1,0,0,0,1,3
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.05,0.4,128,random_ssh_log_geometric_mean,256,0.5,0.51171875,,,0,0,0.9696969697,0.946969697,0.01171875,3,0,0.25,44
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.1,0,1,random_ssh_log_geometric_mean,2,0.5,0.5,,,0,0,1,1,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.1,0.05,128,random_ssh_log_geometric_mean,256,0.50390625,0.50390625,,,0,0,0.9921875,0.9921875,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.1,0.1,128,random_ssh_log_geometric_mean,256,0.5390625,0.52734375,,,0,0,0.921875,0.9453125,-0.01171875,0,3,0.25,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.1,0.2,128,random_ssh_log_geometric_mean,256,0.625,0.59375,,,0,0,0.75,0.8125,-0.03125,0,8,0.0078125,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.1,0.4,128,random_ssh_log_geometric_mean,256,0.70703125,0.6875,,,0,0,0.5952380952,0.6349206349,-0.01953125,1,6,0.125,8
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.2,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.2,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.2,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.2,0.2,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,20,0.2,0.4,128,random_ssh_log_geometric_mean,256,1,0.98046875,,,0,0,0,0.0390625,-0.01953125,0,5,0.0625,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.05,0,1,random_ssh_log_geometric_mean,2,0.5,0.5,,,0,0,1,1,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.05,0.05,128,random_ssh_log_geometric_mean,256,0.5,0.5,,,0,0,1,1,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.05,0.1,128,random_ssh_log_geometric_mean,256,0.5390625,0.5390625,,,0,0,0.921875,0.921875,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.05,0.2,128,random_ssh_log_geometric_mean,256,0.65625,0.64453125,,,0,0,0.6875,0.7109375,-0.01171875,0,3,0.25,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.05,0.4,128,random_ssh_log_geometric_mean,256,0.765625,0.76171875,,,0,0,0.4958677686,0.5041322314,-0.00390625,0,1,1,29
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.1,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.1,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.1,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.1,0.2,128,random_ssh_log_geometric_mean,256,1,0.99609375,,,0,0,0,0.0078125,-0.00390625,0,1,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.1,0.4,128,random_ssh_log_geometric_mean,256,0.9921875,0.984375,,,0,0,0.01550387597,0.03100775194,-0.0078125,0,2,0.5,1
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.2,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.2,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.2,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.2,0.2,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,40,0.2,0.4,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.05,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.05,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.05,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.05,0.2,128,random_ssh_log_geometric_mean,256,1,0.984375,,,0,0,0,0.03125,-0.015625,0,4,0.125,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.05,0.4,128,random_ssh_log_geometric_mean,256,0.96875,0.96875,,,0.0390625,0.0390625,0.0234375,0.0234375,0,0,0,1,4
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.1,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.1,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.1,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.1,0.2,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.1,0.4,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.2,0,1,random_ssh_log_geometric_mean,2,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.2,0.05,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.2,0.1,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.2,0.2,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,off_diagonal,80,0.2,0.4,128,random_ssh_log_geometric_mean,256,1,1,,,0,0,0,0,0,0,0,1,0
replication,amy-ssh-disorder-v1-replication,diagonal,20,0.05,0,1,not_defined,2,,,0,0,,,,,,,,,
